2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,789888810
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,598435614
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,556347375
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,445077900
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,398280000
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,395757560
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,376792794
2023-06-01,yandex,cpc,prof-python,2,2507216,2,1,338216504
2023-06-01,yandex,cpc,prof-python,1,1253608,1,1,299981700
2023-06-01,yandex,cpc,prof-python,1,1253608,1,1,281850815
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,265971384
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,261371250
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,239372918
2023-06-01,yandex,cpc,prof-frontend,1,1827336,1,1,238659333
2023-06-01,yandex,cpc,prof-python,1,1253608,1,1,224986275
